algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Shellsort,40000,1,3,444285,888570,0.000388
Mergesort,40000,1,3,298432,912896,0.000449
Heapsort,40000,1,3,1130406,1815606,0.001772
Quicksort,40000,1,3,528189,100473,0.000335
Introsort,40000,1,3,528189,100473,0.000281
Contagem,40000,1,3,39999,119999,0.000093
Balde,40000,1,3,79999,199999,0.001433
Radixsort C.,40000,1,3,0,720000,0.001998
Radixsort B.,40000,1,3,0,720000,0.006841
Bolha,40000,2,1,799980000,2399940000,0.894113
Coquetel,40000,2,1,799980000,2399940000,1.095051
Selecao,40000,2,1,799980000,60000,0.384070
Insercao,40000,2,1,799980000,800059998,0.266944
Shellsort,40000,2,1,607122,1084724,0.000590
Mergesort,40000,2,1,316032,1228928,0.000704
Heapsort,40000,2,1,1015258,1642884,0.001817
Quicksort,40000,2,1,793814,172692,0.000441
Introsort,40000,2,1,1074163,184645,0.000530
Contagem,40000,2,1,39999,80000,0.000093
Balde,40000,2,1,79999,160000,0.001722
Radixsort C.,40000,2,1,0,720000,0.002014
Radixsort B.,40000,2,1,0,720000,0.006941
Bolha,40000,2,2,799980000,2399940000,0.898172
Coquetel,40000,2,2,799980000,2399940000,1.069000
Selecao,40000,2,2,799980000,60000,0.376513
Insercao,40000,2,2,799980000,800059998,0.271520
Shellsort,40000,2,2,607122,1084724,0.000609
Mergesort,40000,2,2,316032,1228928,0.000689
Heapsort,40000,2,2,1015258,1642884,0.001801
Quicksort,40000,2,2,793814,172692,0.000450
Introsort,40000,2,2,1074163,184645,0.000510
Contagem,40000,2,2,39999,80000,0.000094
Balde,40000,2,2,79999,160000,0.001733
Radixsort C.,40000,2,2,0,720000,0.001991
Radixsort B.,40000,2,2,0,720000,0.007117
Bolha,40000,2,3,799980000,2399940000,0.892150
Coquetel,40000,2,3,799980000,2399940000,1.064159
Selecao,40000,2,3,799980000,60000,0.381388
Insercao,40000,2,3,799980000,800059998,0.266038
Shellsort,40000,2,3,607122,1084724,0.000622
Mergesort,40000,2,3,316032,1228928,0.000705
Heapsort,40000,2,3,1015258,1642884,0.001793
Quicksort,40000,2,3,793814,172692,0.000443
Introsort,40000,2,3,1074163,184645,0.000508
Contagem,40000,2,3,39999,80000,0.000092
Balde,40000,2,3,79999,160000,0.001728
Radixsort C.,40000,2,3,0,720000,0.001937
Radixsort B.,40000,2,3,0,720000,0.006848
Bolha,40000,3,1,799879424,1208286879,1.713940
Coquetel,40000,3,1,604859865,1208286879,1.347919
Selecao,40000,3,1,799980000,119952,0.400937
Insercao,40000,3,1,402802278,402842291,0.133961
Shellsort,40000,3,1,913797,1379104,0.002747
Mergesort,40000,3,1,561785,1198242,0.002554
Heapsort,40000,3,1,1074056,1731081,0.002804
Quicksort,40000,3,1,824304,408897,0.002020
Introsort,40000,3,1,734584,325178,0.001897
Contagem,40000,3,1,39999,80012,0.000718
Balde,40000,3,1,81596,161609,0.002651
Radixsort C.,40000,3,1,0,720000,0.001967
Radixsort B.,40000,3,1,0,720000,0.009438
Bolha,40000,3,2,799949619,1197117303,1.689526
Coquetel,40000,3,2,600369810,1197117303,1.350170
Selecao,40000,3,2,799980000,119964,0.399028
Insercao,40000,3,2,399079092,399119099,0.132792
Shellsort,40000,3,2,915083,1380302,0.002728
Mergesort,40000,3,2,561818,1197894,0.002550
Heapsort,40000,3,2,1073354,1730028,0.002842
Quicksort,40000,3,2,858296,421956,0.002001
Introsort,40000,3,2,764195,322004,0.001972
Contagem,40000,3,2,39999,80007,0.000748
