algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Radixsort B.,3000,1,2,0,54000,0.379736
Bolha,3000,1,3,4498500,0,2.148720
Bolha c/ F.,3000,1,3,2999,0,0.002444
Coquetel,3000,1,3,2999,0,0.002864
Selecao,3000,1,3,4498500,0,1.943800
Insercao,3000,1,3,2999,5998,0.002864
Shellsort,3000,1,3,24021,48042,0.018229
Mergesort,3000,1,3,16828,51732,0.031429
Quicksort,3000,1,3,69087,139453,0.162175
Heapsort,3000,1,3,62506,102756,0.158963
Contagem,3000,1,3,2999,8999,0.007194
Balde,3000,1,3,5999,14999,0.077456
Radixsort C.,3000,1,3,0,54000,0.198983
Radixsort B.,3000,1,3,0,54000,0.369260
Bolha,3000,2,1,4498500,13495500,7.674348
Bolha c/ F.,3000,2,1,4498500,13495500,7.597450
Coquetel,3000,2,1,4498500,13495500,7.709409
Selecao,3000,2,1,4498500,4500,2.374522
Insercao,3000,2,1,4498500,4504498,2.150675
Shellsort,3000,2,1,33819,60096,0.032407
Mergesort,3000,2,1,18076,69808,0.039601
Quicksort,3000,2,1,70484,136028,0.168042
Heapsort,3000,2,1,53502,89250,0.128092
Contagem,3000,2,1,2999,6000,0.007193
Balde,3000,2,1,5999,12000,0.069773
Radixsort C.,3000,2,1,0,54000,0.197865
Radixsort B.,3000,2,1,0,54000,0.382111
Bolha,3000,2,2,4498500,13495500,7.632931
Bolha c/ F.,3000,2,2,4498500,13495500,7.592422
Coquetel,3000,2,2,4498500,13495500,7.616168
Selecao,3000,2,2,4498500,4500,2.185597
Insercao,3000,2,2,4498500,4504498,2.147323
Shellsort,3000,2,2,33819,60096,0.032407
Mergesort,3000,2,2,18076,69808,0.039671
Quicksort,3000,2,2,70484,136028,0.170557
Heapsort,3000,2,2,53502,89250,0.133191
Contagem,3000,2,2,2999,6000,0.007613
Balde,3000,2,2,5999,12000,0.062999
Radixsort C.,3000,2,2,0,54000,0.193674
Radixsort B.,3000,2,2,0,54000,0.366815
Bolha,3000,2,3,4498500,13495500,7.543951
Bolha c/ F.,3000,2,3,4498500,13495500,7.485632
Coquetel,3000,2,3,4498500,13495500,7.601292
Selecao,3000,2,3,4498500,4500,2.396313
Insercao,3000,2,3,4498500,4504498,2.143062
Shellsort,3000,2,3,33819,60096,0.032896
Mergesort,3000,2,3,18076,69808,0.039740
Quicksort,3000,2,3,70484,136028,0.168112
Heapsort,3000,2,3,53502,89250,0.132701
Contagem,3000,2,3,2999,6000,0.007054
Balde,3000,2,3,5999,12000,0.062998
Radixsort C.,3000,2,3,0,54000,0.201637
Radixsort B.,3000,2,3,0,54000,0.367304
Bolha,3000,3,1,4498500,6744840,6.086747
Bolha c/ F.,3000,3,1,4491479,6744840,5.699188
Coquetel,3000,3,1,3369747,6744840,5.262181
Selecao,3000,3,1,4498500,8964,2.244195
Insercao,3000,3,1,2251275,2254278,1.388409
Shellsort,3000,3,1,47314,72799,0.162734
Mergesort,3000,3,1,30932,67467,0.148556
Quicksort,3000,3,1,62718,123807,0.214139
Heapsort,3000,3,1,58176,96261,0.181941
Contagem,3000,3,1,2999,6007,0.022070
Balde,3000,3,1,6114,12122,0.124739
Radixsort C.,3000,3,1,0,54000,0.202614
Radixsort B.,3000,3,1,0,54000,0.374498
Bolha,3000,3,2,4498500,6744840,6.103719
Bolha c/ F.,3000,3,2,4491479,6744840,5.737741
Coquetel,3000,3,2,3369747,6744840,5.266721
Selecao,3000,3,2,4498500,8964,2.246011
Insercao,3000,3,2,2251275,2254278,1.217783
Shellsort,3000,3,2,47314,72799,0.167973
Mergesort,3000,3,2,30932,67467,0.143388
Quicksort,3000,3,2,62718,123807,0.216024
Heapsort,3000,3,2,58176,96261,0.185712
